country_code,country,strategy,period,status,statistically_insufficient,start,end,months,turnover_annualized_std,turnover_annualized_energy,turnover_annualized_delta,turnover_12m_std,turnover_12m_energy,contribution_energy_nominal_pts,active_months,activation_rate,active_phases,mean_run_months,median_run_months,max_run_months,last_activation,last_deactivation,signal_availability
NO,Norvège,dynamic,5y,ok,false,2021-06,2026-06,61,0.291871,0.45217,0.1603,0.428358,0.498293,7.646807,35,0.57377,7,5,5,8,2026-01,2026-06,1
NO,Norvège,binary,common,ok,false,2003-11,2026-06,272,0.862354,1.00573,0.143376,1.155678,1.282328,32.620808,162,0.595588,27,6,5,18,2026-01,2026-06,1
NO,Norvège,binary,20y,ok,false,2006-06,2026-06,241,0.860255,1.005319,0.145064,1.155678,1.282328,21.215907,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
NO,Norvège,binary,10y,ok,false,2016-06,2026-06,121,0.780716,0.941567,0.160851,1.155678,1.282328,14.916811,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
NO,Norvège,binary,5y,ok,false,2021-06,2026-06,61,0.647449,0.823569,0.17612,1.155678,1.282328,8.34513,35,0.57377,7,5,5,8,2026-01,2026-06,1
SE,Suède,dynamic,common,ok,false,2000-10,2026-06,309,0.284611,0.473175,0.188564,0.370078,0.58916,32.598938,186,0.601942,30,6.2,5,19,2026-01,2026-06,1
SE,Suède,dynamic,20y,ok,false,2006-06,2026-06,241,0.277554,0.476796,0.199242,0.370078,0.58916,21.963577,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
SE,Suède,dynamic,10y,ok,false,2016-06,2026-06,121,0.253384,0.49424,0.240856,0.370078,0.58916,15.272737,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
SE,Suède,dynamic,5y,ok,false,2021-06,2026-06,61,0.27307,0.482498,0.209428,0.370078,0.58916,7.872393,35,0.57377,7,5,5,8,2026-01,2026-06,1
SE,Suède,binary,common,ok,false,2000-10,2026-06,309,0.70149,0.871288,0.169798,0.562232,0.748035,34.542534,186,0.601942,30,6.2,5,19,2026-01,2026-06,1
SE,Suède,binary,20y,ok,false,2006-06,2026-06,241,0.687372,0.860035,0.172663,0.562232,0.748035,21.549543,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
SE,Suède,binary,10y,ok,false,2016-06,2026-06,121,0.613505,0.800543,0.187038,0.562232,0.748035,14.977412,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
SE,Suède,binary,5y,ok,false,2021-06,2026-06,61,0.57026,0.772546,0.202285,0.562232,0.748035,7.55255,35,0.57377,7,5,5,8,2026-01,2026-06,1
SG,Singapour,dynamic,common,ok,false,2013-06,2026-06,157,0.429856,0.598589,0.168733,0.5088,0.641141,11.428304,83,0.528662,16,5.1875,4.5,14,2026-01,2026-06,1
SG,Singapour,dynamic,20y,insufficient_history,true,2013-06,2026-06,157,,,,,,,,,,,,,,,
SG,Singapour,dynamic,10y,ok,false,2016-06,2026-06,121,0.424117,0.596022,0.171904,0.5088,0.641141,11.314499,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
SG,Singapour,dynamic,5y,ok,false,2021-06,2026-06,61,0.331864,0.471213,0.139348,0.5088,0.641141,6.045613,35,0.57377,7,5,5,8,2026-01,2026-06,1
SG,Singapour,binary,common,ok,false,2013-06,2026-06,157,1.02634,1.191741,0.165401,0.560427,0.757878,12.528507,83,0.528662,16,5.1875,4.5,14,2026-01,2026-06,1
SG,Singapour,binary,20y,insufficient_history,true,2013-06,2026-06,157,,,,,,,,,,,,,,,
SG,Singapour,binary,10y,ok,false,2016-06,2026-06,121,0.75462,0.948658,0.194039,0.560427,0.757878,12.411184,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
SG,Singapour,binary,5y,ok,false,2021-06,2026-06,61,0.61233,0.835496,0.223166,0.560427,0.757878,6.728747,35,0.57377,7,5,5,8,2026-01,2026-06,1
TW,Taiwan,dynamic,common,ok,false,2013-01,2026-06,162,0.406665,0.587121,0.180457,0.447164,0.632662,11.025327,85,0.524691,18,4.722222,4,14,2026-01,2026-06,1
TW,Taiwan,dynamic,20y,insufficient_history,true,2013-01,2026-06,162,,,,,,,,,,,,,,,
TW,Taiwan,dynamic,10y,ok,false,2016-06,2026-06,121,0.42123,0.596564,0.175334,0.447164,0.632662,11.609737,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
TW,Taiwan,dynamic,5y,ok,false,2021-06,2026-06,61,0.444962,0.619616,0.174654,0.447164,0.632662,7.255608,35,0.57377,7,5,5,8,2026-01,2026-06,1
TW,Taiwan,binary,common,ok,false,2013-01,2026-06,162,0.820733,1.000081,0.179349,0.120033,0.366873,12.136701,85,0.524691,18,4.722222,4,14,2026-01,2026-06,1
TW,Taiwan,binary,20y,insufficient_history,true,2013-01,2026-06,162,,,,,,,,,,,,,,,
TW,Taiwan,binary,10y,ok,false,2016-06,2026-06,121,0.5675,0.766315,0.198815,0.120033,0.366873,12.721098,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
TW,Taiwan,binary,5y,ok,false,2021-06,2026-06,61,0.748931,0.955247,0.206315,0.120033,0.366873,8.050262,35,0.57377,7,5,5,8,2026-01,2026-06,1
US,États-Unis,dynamic,common,ok,false,1995-01,2026-06,378,0.268656,0.412148,0.143491,0.489961,0.619792,46.670852,228,0.603175,33,6.909091,5,21,2026-01,2026-06,0.986772
US,États-Unis,dynamic,20y,ok,false,2006-06,2026-06,241,0.272203,0.433818,0.161615,0.489961,0.619792,16.981739,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
